location,population
Afghanistan,38931643.27750113
Albania,2877697.8417266184
Algeria,43845404.35206236
Andorra,77265.82017668118
Angola,33333333.333333336
Anguilla,15001.95025353296
Antigua and Barbuda,97924.01096748923
Argentina,45196595.05472233
Armenia,2963186.1784943
Aruba,106765.36531549165
Australia,25477707.006369423
Austria,9006586.906842317
Azerbaijan,10138248.847926266
Bahamas,393236.33503735746
Bahrain,1701594.1250223897
Bangladesh,164678595.0960901
Barbados,287356.3218390804
Belarus,9449287.29951724
Belgium,11589646.861573927
Belize,397614.3141153081
Benin,12121212.121212121
Bermuda,62274.25582264292
Bhutan,771604.938271605
Bolivia,11672442.093744302
Bonaire Sint Eustatius and Saba,26221.25494926187
Bosnia and Herzegovina,3280705.3516506054
Botswana,2352941.1764705884
Brazil,212561054.28071147
British Virgin Islands,30237.058538945337
Brunei,437445.3193350831
Bulgaria,6948273.960516158
Burkina Faso,20833333.333333332
Burundi,11904761.904761905
Cambodia,16666666.666666668
Cameroon,26546391.75257732
Canada,37742504.409171075
Cape Verde,555967.3832468495
Cayman Islands,65720.29442691903
Central African Republic,4829412.681102976
Chad,16438356.164383564
Chile,19116363.924803678
China,1444444444.4444444
Colombia,50887021.47525677
Congo,5516154.452324664
Costa Rica,5089058.524173028
Cote d'Ivoire,26365348.399246704
Croatia,4105839.4160583946
Cuba,11325028.31257078
Curacao,164095.83196586807
Cyprus,875963.5599159076
Czech Republic,10709186.10185626
Democratic Republic of Congo,89552238.80597015
Denmark,5792323.993407111
Djibouti,987979.5817553104
Dominica,71989.0576632352
Dominican Republic,10848126.232741619
Ecuador,17643074.83914663
Egypt,102343059.23961097
El Salvador,6486766.995329528
Equatorial Guinea,1402971.7492506858
Eritrea,3546099.290780142
Estonia,1326699.8341625207
Ethiopia,111111111.1111111
Faeroe Islands,48865.10786972562
Falkland Islands,3482.9977465004577
Fiji,896057.347670251
Finland,5540811.100246777
France,65273562.81973468
French Polynesia,280898.8764044944
Gabon,2225755.1669316376
Gambia,2415458.9371980675
Georgia,3989844.033369605
Germany,83784971.43694155
Ghana,31074418.071322095
Gibraltar,33690.90615061183
Greece,10424422.933730453
Greenland,56773.021460202115
Grenada,112519.69094591554
Guam,168776.37130801688
Guatemala,17910447.761194028
Guernsey,
Guinea,13132851.161020175
Guinea-Bissau,1967922.8574239889
Guyana,786782.0613690008
Haiti,11396011.396011395
Honduras,9904054.472299596
Hong Kong,
Hungary,9660421.545667447
Iceland,341238.69646817946
India,1380143112.7012525
Indonesia,273657289.0025576
International,
Iran,83990168.65836087
Iraq,40238450.074515656
Ireland,4937766.236424341
Isle of Man,85034.01360544217
Israel,8655804.48065173
Italy,60461720.32542939
Jamaica,2961082.910321489
Japan,126490066.22516556
Jersey,
Jordan,10204081.632653061
Kazakhstan,18776260.50420168
Kenya,53691275.167785235
Kosovo,1932696.6803092316
Kuwait,4270591.065843292
Kyrgyzstan,6522829.904666332
Laos,7299270.072992702
Latvia,1886199.308393587
Lebanon,6818181.818181818
Liberia,5059021.9224283295
Libya,6849315.068493151
Liechtenstein,38137.37080965638
Lithuania,2722098.490472655
Luxembourg,625978.090766823
Macedonia,2083333.3333333335
Madagascar,27777777.777777776
Malawi,19047619.04761905
Malaysia,32362459.546925563
Maldives,540540.5405405406
Mali,20255863.53944563
Malta,441501.10375275934
Mauritania,4651162.790697674
Mauritius,1271455.8169103623
Mexico,128934624.69733657
Moldova,4034040.6719717067
Monaco,39243.387489208064
Mongolia,3278688.524590164
Montenegro,628140.703517588
Montserrat,4999.000199960009
Morocco,36912751.67785235
Mozambique,31250000.0
Myanmar,54054054.05405405
Namibia,2541296.0609911056
Nepal,29126213.592233006
Netherlands,17135023.989033584
New Caledonia,285510.34975017846
New Zealand,4819277.108433736
Nicaragua,6622516.556291391
Niger,24154589.37198068
Nigeria,206451612.9032258
Northern Mariana Islands,57557.269483135715
Norway,5421103.581800581
Oman,5106638.630219285
Pakistan,220882352.94117647
Palestine,5101360.362763404
Panama,4314802.267945655
Papua New Guinea,8928571.42857143
Paraguay,7142857.142857143
Peru,32971631.00783843
Philippines,109573879.35805203
Poland,37848605.57768924
Portugal,10196421.869135495
Puerto Rico,2860775.588048315
Qatar,2881063.554997606
Romania,19238095.23809524
Russia,145934873.20760047
Rwanda,12955465.587044533
Saint Kitts and Nevis,53191.48936170213
Saint Lucia,183621.00624311419
Saint Vincent and the Grenadines,110950.84877399313
San Marino,33938.01831838477
Sao Tome and Principe,219154.06530791149
Saudi Arabia,34814314.65226199
Senegal,16745159.602302458
Serbia,6804509.082413411
Seychelles,98338.0863408398
Sierra Leone,7978723.404255319
Singapore,5850351.094286573
Sint Maarten (Dutch part),42881.64665523156
Slovakia,5464480.87431694
Slovenia,2079002.079002079
Somalia,15895953.757225433
South Africa,59303721.48859543
South Korea,51282051.28205128
South Sudan,11235955.056179775
Spain,46754506.91997345
Sri Lanka,21409749.670619234
Sudan,43829296.42445213
Suriname,586682.3115283074
Swaziland,1160092.8074245937
Sweden,10099226.667608319
Switzerland,8654734.896227207
Syria,17543859.649122804
Taiwan,23809523.809523806
Tanzania,59760956.1752988
Thailand,69868995.63318779
Timor,1319261.2137203165
Togo,8264462.809917356
Trinidad and Tobago,1398601.3986013988
Tunisia,11818778.726198293
Turkey,84339256.73803777
Turks and Caicos Islands,38717.670744927986
Uganda,45977011.494252875
Ukraine,43735356.46546915
United Arab Emirates,9890398.239912804
United Kingdom,67886063.58508995
United States,331003392.1202955
United States Virgin Islands,104422.28371534486
Uruguay,3473945.40942928
Uzbekistan,33464566.92913386
Vatican,808.9999627860017
Venezuela,28368794.326241136
Vietnam,95238095.23809522
Western Sahara,597312.0955699353
World,7794506136.762128
Yemen,29411764.70588235
Zambia,18518518.518518515
Zimbabwe,14925373.134328356
